seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S1030	IGHV3-9*03	IGHD4-11*01	IGHJ2*01	293	0	14	13	47
S1031	IGHV4-38-2*01	IGHD1-7*01	IGHJ6*01	292	7	3	0	59
S1032	IGHV2-70D*04	IGHD6-13*01	IGHJ3*02	296	1	12	0	49
S1033	IGHV4-31*06	IGHD6-19*01	IGHJ1*01	290	2	14	2	47
S1034	IGHV3-30*14	IGHD3-16*01	IGHJ6*02	294	10	29	1	44
S1035	IGHV3-43D*01	IGHD2-15*01	IGHJ1*01	293	0	28	6	46
S1036	IGHV1/OR15-1*01	IGHD2-15*01	IGHJ4*01	290	5	22	1	43
S1037	IGHV4-59*10	IGHD6-13*01	IGHJ4*01	290	7	16	3	48
S1038	IGHV3-73*02	IGHD7-27*01	IGHJ4*02	299	14	0	6	48
S1039	IGHV1-58*02	IGHD1-1*01	IGHJ4*03	290	12	12	1	43
S1040	IGHV2-70*07	IGHD6-19*01	IGHJ3*01	290	4	3	0	49
S1041	IGHV3-73*02	IGHD1-7*01	IGHJ4*03	300	4	17	1	45
S1042	IGHV3-43*02	IGHD4-17*01	IGHJ6*01	294	2	9	10	61
S1043	IGHV3-23*02	IGHD6-6*01	IGHJ1*01	294	0	8	4	52
S1044	IGHV3-38*03	IGHD2-15*01	IGHJ1*01	283	6	25	4	52
S1045	IGHV3-66*03	IGHD3-3*01	IGHJ3*01	291	0	31	1	50
S1046	IGHV3-33*05	IGHD3-16*02	IGHJ1*01	294	0	33	3	52
S1047	IGHV3-33*05	IGHD3-3*02	IGHJ2*01	293	5	27	1	53
S1048	IGHV3-74*01	IGHD5-12*01	IGHJ2*01	294	13	22	0	53
S1049	IGHV4/OR15-8*01	IGHD2/OR15-2a*01	IGHJ5*01	293	5	29	6	46
S1050	IGHV1-58*02	IGHD3-16*01	IGHJ5*01	294	2	36	7	49
S1051	IGHV1-3*02	IGHD6-25*01	IGHJ3*02	293	13	7	0	45
S1052	IGHV4-34*12	IGHD3-10*01	IGHJ3*02	291	4	29	7	42
S1053	IGHV3-30*16	IGHD3-3*01	IGHJ3*02	294	0	24	1	45
S1054	IGHV4-61*01	IGHD5-24*01	IGHJ1*01	296	0	10	5	50
S1055	IGHV3-64*04	IGHD6-6*01	IGHJ2*01	294	7	11	9	43
S1056	IGHV4-31*03	IGHD1/OR15-1a*01	IGHJ1*01	294	7	15	3	48
S1057	IGHV3-13*02	IGHD1/OR15-1a*01	IGHJ6*04	291	7	2	4	51
S1058	IGHV1-3*01	IGHD6-25*01	IGHJ1*01	294	0	18	9	40
S1059	IGHV4-30-4*01	IGHD5-24*01	IGHJ3*01	297	3	10	2	49
S1060	IGHV3-66*03	IGHD3-3*01	IGHJ3*02	290	0	8	4	50
S1061	IGHV2-5*09	IGHD5-18*01	IGHJ4*01	297	4	18	0	48
S1062	IGHV3/OR16-9*01	IGHD2-21*01	IGHJ3*01	294	7	10	0	50
S1063	IGHV5-51*03	IGHD1/OR15-1a*01	IGHJ6*01	294	7	7	0	56
S1064	IGHV1-69*10	IGHD3-22*01	IGHJ5*01	294	4	31	13	40
S1065	IGHV3-38*01	IGHD2-2*02	IGHJ2*01	288	1	31	0	53
S1066	IGHV1-8*01	IGHD3/OR15-3a*01	IGHJ4*01	292	0	11	1	48
S1067	IGHV1/OR15-9*01	IGHD6-13*01	IGHJ4*02	291	3	18	4	48
S1068	IGHV3-73*01	IGHD4-11*01	IGHJ4*02	300	5	8	9	48
S1069	IGHV3-38-3*01	IGHD5-24*01	IGHJ3*02	285	6	8	4	34
S1070	IGHV3-21*01	IGHD6-19*01	IGHJ6*04	294	3	21	10	57
S1071	IGHV3/OR16-10*02	IGHD5-18*01	IGHJ4*02	290	3	20	0	42
S1072	IGHV2-5*01	IGHD3-9*01	IGHJ6*02	294	0	22	11	57
S1073	IGHV1-45*01	IGHD1/OR15-1a*01	IGHJ4*01	292	14	9	16	42
S1074	IGHV1-45*01	IGHD2-8*01	IGHJ5*02	294	7	28	0	47
S1075	IGHV4-61*08	IGHD4-17*01	IGHJ2*01	297	6	8	9	53
S1076	IGHV1-8*01	IGHD1-7*01	IGHJ1*01	294	1	8	3	43
S1077	IGHV3-NL1*01	IGHD1-7*01	IGHJ6*04	294	0	1	6	63
S1078	IGHV3-25*04	IGHD2-21*02	IGHJ2*01	291	6	26	4	52
S1079	IGHV2-70D*14	IGHD1-14*01	IGHJ5*02	298	0	10	0	44
S1080	IGHV3-30-3*02	IGHD3-10*01	IGHJ3*01	294	8	30	1	43
S1081	IGHV4-61*01	IGHD1-20*01	IGHJ3*02	297	4	17	1	45
S1082	IGHV3-48*01	IGHD4-11*01	IGHJ6*03	294	0	2	0	58
S1083	IGHV4-28*05	IGHD4-23*01	IGHJ5*01	294	0	0	7	51
S1084	IGHV3-33*03	IGHD4/OR15-4a*01	IGHJ2*01	291	0	13	9	48
S1085	IGHV6-1*01	IGHD5-12*01	IGHJ6*03	302	13	15	7	59
S1086	IGHV2-70D*14	IGHD6-6*01	IGHJ2*01	300	12	14	8	48
S1087	IGHV3-30-3*02	IGHD3-22*01	IGHJ5*01	294	0	30	9	46
S1088	IGHV3/OR16-6*02	IGHD5-12*01	IGHJ2*01	298	0	10	8	48
S1089	IGHV3-48*02	IGHD5-18*01	IGHJ2*01	290	14	13	10	52
S1090	IGHV2-26*01	IGHD2-2*03	IGHJ6*04	300	4	29	3	61
S1091	IGHV3-53*01	IGHD2/OR15-2a*01	IGHJ2*01	289	0	26	1	42
S1092	IGHV2-70D*14	IGHD3-16*01	IGHJ5*02	299	7	25	3	51
S1093	IGHV3-49*01	IGHD5-24*01	IGHJ4*03	299	8	20	4	48
S1094	IGHV2-26*01	IGHD4-23*01	IGHJ2*01	299	1	10	3	51
S1095	IGHV1-3*02	IGHD3-22*01	IGHJ1*01	293	12	24	0	35
S1096	IGHV3-64*01	IGHD1/OR15-1a*01	IGHJ4*02	294	3	0	6	46
S1097	IGHV3-64*01	IGHD3/OR15-3a*01	IGHJ6*02	294	12	21	0	57
S1098	IGHV3/OR16-13*01	IGHD4/OR15-4a*01	IGHJ1*01	294	9	8	10	52
S1099	IGHV3-16*01	IGHD4-23*01	IGHJ3*01	293	10	11	1	43
S1100	IGHV3-NL1*01	IGHD1-26*01	IGHJ2*01	294	4	19	5	45
S1101	IGHV3/OR16-9*01	IGHD5-24*01	IGHJ2*01	294	7	10	24	53
S1102	IGHV1-46*02	IGHD4-11*01	IGHJ5*01	294	2	13	11	47
S1103	IGHV1-2*03	IGHD1-14*01	IGHJ3*02	294	0	12	5	50
S1104	IGHV3-23*02	IGHD3-22*01	IGHJ1*01	293	6	24	1	52
S1105	IGHV1-18*01	IGHD5-12*01	IGHJ1*01	293	12	16	6	52
S1106	IGHV4-30-4*02	IGHD3-10*01	IGHJ6*04	297	0	20	5	57
S1107	IGHV3/OR16-9*01	IGHD3-10*02	IGHJ2*01	292	3	28	15	53
S1108	IGHV4-31*03	IGHD6-13*01	IGHJ3*01	294	6	21	9	40
S1109	IGHV1-46*01	IGHD1-26*01	IGHJ4*02	294	0	8	9	38
S1110	IGHV3-9*01	IGHD3-16*01	IGHJ2*01	293	0	32	1	53
S1111	IGHV3/OR15-7*02	IGHD4-23*01	IGHJ2*01	296	1	12	11	53
S1112	IGHV3-16*01	IGHD5-12*01	IGHJ4*03	289	5	13	0	48
S1113	IGHV2-26*01	IGHD3-3*02	IGHJ1*01	299	5	16	4	52
S1114	IGHV3-11*04	IGHD2-2*01	IGHJ6*02	294	13	29	3	57
S1115	IGHV1-69D*01	IGHD3/OR15-3a*01	IGHJ2*01	292	0	31	8	48
S1116	IGHV3/OR16-6*02	IGHD1-7*01	IGHJ6*03	300	6	0	9	54
S1117	IGHV1-46*01	IGHD2-8*02	IGHJ2*01	294	7	24	1	47
S1118	IGHV4-34*01	IGHD3-3*02	IGHJ6*01	291	9	16	3	60
S1119	IGHV3-11*01	IGHD6-25*01	IGHJ4*01	293	0	10	9	43
S1120	IGHV3/OR16-8*01	IGHD5-18*01	IGHJ3*02	288	3	20	0	50
S1121	IGHV3-33*06	IGHD4-11*01	IGHJ4*03	293	3	10	0	40
S1122	IGHV1-8*02	IGHD6-25*01	IGHJ4*02	294	2	10	1	48
S1123	IGHV1/OR21-1*01	IGHD2-21*02	IGHJ3*02	293	7	17	0	50
S1124	IGHV3-43D*01	IGHD1-1*01	IGHJ6*04	293	5	16	2	60
S1125	IGHV7-81*01	IGHD4-17*01	IGHJ1*01	293	8	4	0	47
S1126	IGHV2-5*05	IGHD3-9*01	IGHJ5*02	300	3	23	10	49
S1127	IGHV1-2*04	IGHD2-2*03	IGHJ3*02	293	7	21	8	50
S1128	IGHV3-7*03	IGHD5-18*01	IGHJ4*02	293	3	0	13	43
S1129	IGHV1-8*02	IGHD3-10*01	IGHJ3*02	294	0	26	1	43
S1130	IGHV3-11*01	IGHD4-11*01	IGHJ4*01	293	10	0	0	37
S1131	IGHV1-3*02	IGHD1-20*01	IGHJ4*01	294	3	8	2	42
S1132	IGHV1-3*02	IGHD6-6*01	IGHJ5*02	289	0	16	4	46
S1133	IGHV3-13*01	IGHD3-22*01	IGHJ2*01	289	9	28	0	44
S1134	IGHV3-20*01	IGHD4/OR15-4a*01	IGHJ2*01	294	4	18	0	45
S1135	IGHV3-53*02	IGHD1/OR15-1a*01	IGHJ1*01	291	12	5	0	47
S1136	IGHV1-24*01	IGHD1-14*01	IGHJ3*02	293	2	0	7	50
S1137	IGHV3/OR16-6*02	IGHD3-10*02	IGHJ3*01	300	3	11	9	50
S1138	IGHV3-43*02	IGHD3-9*01	IGHJ3*01	293	21	29	4	44
S1139	IGHV3-73*02	IGHD3/OR15-3a*01	IGHJ3*01	300	1	24	2	43
S1140	IGHV1-69-2*01	IGHD1-26*01	IGHJ6*03	294	0	20	4	57
S1141	IGHV4-61*03	IGHD6-25*01	IGHJ3*01	295	0	7	3	50
S1142	IGHV3/OR16-8*01	IGHD3-16*01	IGHJ4*01	294	7	20	2	35
S1143	IGHV3/OR16-10*01	IGHD2-8*02	IGHJ6*02	289	7	23	10	61
S1144	IGHV1-69*06	IGHD3-22*01	IGHJ1*01	292	0	31	17	39
S1145	IGHV3-25*04	IGHD1-14*01	IGHJ2*01	294	7	14	4	51
S1146	IGHV4-59*02	IGHD2-21*01	IGHJ3*01	291	1	21	0	45
S1147	IGHV3/OR16-12*01	IGHD4-23*01	IGHJ5*01	294	1	7	0	44
S1148	IGHV1-69-2*01	IGHD6-19*01	IGHJ3*02	292	4	6	11	39
S1149	IGHV3-30*19	IGHD1-20*01	IGHJ5*01	291	6	7	7	47
S1150	IGHV3/OR16-9*01	IGHD4-17*01	IGHJ3*01	293	5	14	16	48
S1151	IGHV3-48*01	IGHD3/OR15-3a*01	IGHJ1*01	294	4	10	0	41
S1152	IGHV3-35*01	IGHD1-1*01	IGHJ6*01	291	9	7	2	58
S1153	IGHV3-23*04	IGHD1-20*01	IGHJ6*02	289	3	8	1	62
S1154	IGHV3-64*01	IGHD4-23*01	IGHJ6*04	294	2	15	10	58
S1155	IGHV3-43*02	IGHD4-23*01	IGHJ6*02	293	4	18	12	60
S1156	IGHV4-38-2*01	IGHD5/OR15-5a*01	IGHJ2*01	289	0	21	13	53
S1157	IGHV3-38*01	IGHD5/OR15-5a*01	IGHJ5*01	288	3	18	0	49
S1158	IGHV1-18*04	IGHD1-20*01	IGHJ3*02	294	4	15	3	42
S1159	IGHV1/OR15-1*03	IGHD1/OR15-1a*01	IGHJ3*02	294	5	7	8	44
S1160	IGHV4-59*03	IGHD3-3*02	IGHJ5*01	288	6	19	0	48
S1161	IGHV3-16*01	IGHD7-27*01	IGHJ4*01	293	7	1	10	35
S1162	IGHV7-81*01	IGHD6-25*01	IGHJ1*01	294	12	13	7	41
S1163	IGHV2/OR16-5*01	IGHD5-24*01	IGHJ4*02	297	0	0	9	46
S1164	IGHV3-15*04	IGHD5/OR15-5a*01	IGHJ2*01	300	0	23	0	47
S1165	IGHV3-20*01	IGHD4-23*01	IGHJ3*02	294	15	14	6	50
S1166	IGHV3-NL1*01	IGHD4/OR15-4a*01	IGHJ5*02	294	4	16	0	41
S1167	IGHV3-13*05	IGHD1-1*01	IGHJ6*03	290	5	17	10	50
S1168	IGHV2-5*09	IGHD3-3*02	IGHJ1*01	300	1	16	10	52
S1169	IGHV7-81*01	IGHD6-25*01	IGHJ3*02	293	3	0	2	48
S1170	IGHV3-15*01	IGHD6-19*01	IGHJ4*01	299	21	18	0	44
S1171	IGHV3-38*03	IGHD6-19*01	IGHJ1*01	286	1	0	16	52
S1172	IGHV1-24*01	IGHD3/OR15-3a*01	IGHJ2*01	289	0	6	5	49
S1173	IGHV3-38-3*01	IGHD6-19*01	IGHJ6*01	287	0	21	12	62
S1174	IGHV3-49*05	IGHD4-23*01	IGHJ3*02	300	0	6	3	43
S1175	IGHV1-69*05	IGHD3-16*01	IGHJ5*01	294	5	17	0	51
S1176	IGHV3/OR15-7*01	IGHD4-17*01	IGHJ1*01	299	0	0	3	47
S1177	IGHV3-NL1*01	IGHD5-12*01	IGHJ4*03	289	8	11	5	48
S1178	IGHV3/OR16-13*01	IGHD2-15*01	IGHJ3*01	293	5	26	11	44
S1179	IGHV1/OR15-5*02	IGHD1-7*01	IGHJ4*02	294	3	15	3	46
S1180	IGHV3-38*02	IGHD1-7*01	IGHJ6*03	287	3	5	6	62
S1181	IGHV3/OR16-8*02	IGHD5-12*01	IGHJ5*02	294	0	23	3	44
S1182	IGHV3-35*01	IGHD1-26*01	IGHJ4*01	294	5	1	4	36
S1183	IGHV3-11*03	IGHD5-18*01	IGHJ6*04	294	4	11	3	61
S1184	IGHV3/OR16-8*02	IGHD4-11*01	IGHJ3*02	293	7	5	0	50
S1185	IGHV3-13*05	IGHD3-9*01	IGHJ6*04	289	4	23	0	60
S1186	IGHV7-81*01	IGHD1-26*01	IGHJ1*01	293	0	0	8	51
S1187	IGHV3-43*01	IGHD4/OR15-4a*01	IGHJ4*02	291	0	15	6	46
S1188	IGHV3-53*02	IGHD3-16*01	IGHJ5*01	290	5	32	4	42
S1189	IGHV4-30-4*07	IGHD3-22*01	IGHJ6*03	297	9	23	0	49
S1190	IGHV3/OR16-13*01	IGHD1/OR15-1a*01	IGHJ1*01	293	8	3	4	50
S1191	IGHV1-46*03	IGHD6-6*01	IGHJ4*01	294	7	6	6	48
S1192	IGHV3/OR16-9*01	IGHD4-17*01	IGHJ3*01	294	8	15	6	44
S1193	IGHV3-35*01	IGHD3-3*01	IGHJ4*01	294	12	27	0	43
S1194	IGHV3-49*05	IGHD7-27*01	IGHJ5*02	300	16	9	0	45
S1195	IGHV2-70D*14	IGHD2/OR15-2a*01	IGHJ4*03	300	0	13	0	39
S1196	IGHV3/OR16-10*03	IGHD6-25*01	IGHJ4*03	288	7	11	1	45
S1197	IGHV3-21*03	IGHD5/OR15-5a*01	IGHJ4*01	292	2	8	6	47
S1198	IGHV3-30-3*03	IGHD5-18*01	IGHJ2*01	290	2	17	0	49
S1199	IGHV3-NL1*01	IGHD1-1*01	IGHJ4*02	293	9	17	0	42
S1200	IGHV3-48*01	IGHD2-8*01	IGHJ4*02	293	7	15	4	42
S1201	IGHV3-48*01	IGHD2/OR15-2a*01	IGHJ1*01	293	7	20	0	50
S1202	IGHV5-10-1*01	IGHD6-13*01	IGHJ5*01	293	6	21	0	47
S1203	IGHV3-33*06	IGHD2-8*01	IGHJ4*01	294	0	21	5	44
S1204	IGHV3/OR16-12*01	IGHD4/OR15-4a*01	IGHJ6*01	288	4	11	5	56
S1205	IGHV1-3*01	IGHD4-17*01	IGHJ1*01	294	2	11	0	51
S1206	IGHV6-1*01	IGHD2-8*02	IGHJ5*02	298	6	26	1	51
S1207	IGHV3-20*01	IGHD3-10*02	IGHJ4*03	294	7	23	5	35
S1208	IGHV4-38-2*01	IGHD4-23*01	IGHJ2*01	294	8	17	0	48
S1209	IGHV3-33*04	IGHD1-26*01	IGHJ4*03	294	0	10	5	46
S1210	IGHV3-15*04	IGHD1-14*01	IGHJ2*01	300	5	16	5	47
S1211	IGHV3-16*01	IGHD3-3*02	IGHJ4*01	294	11	15	0	44
S1212	IGHV1-24*01	IGHD4-17*01	IGHJ5*01	290	0	7	1	48
S1213	IGHV3-9*01	IGHD3-9*01	IGHJ4*02	294	0	28	3	48
S1214	IGHV1/OR15-1*03	IGHD4-23*01	IGHJ6*04	289	0	9	0	57
S1215	IGHV4-61*01	IGHD2/OR15-2a*01	IGHJ6*04	297	2	28	0	58
S1216	IGHV3-48*02	IGHD1-20*01	IGHJ6*04	293	8	10	0	59
S1217	IGHV4-4*08	IGHD2-21*01	IGHJ2*01	291	0	21	4	42
S1218	IGHV3-64*05	IGHD3-16*01	IGHJ4*03	292	3	37	7	40
S1219	IGHV3-16*02	IGHD2-15*01	IGHJ3*01	294	0	23	3	47
S1220	IGHV3-15*05	IGHD6-25*01	IGHJ5*02	299	0	10	6	43
S1221	IGHV3-33*01	IGHD3-22*01	IGHJ2*01	294	7	25	0	53
S1222	IGHV3-64*01	IGHD5/OR15-5a*01	IGHJ2*01	294	4	20	5	53
S1223	IGHV1/OR15-1*04	IGHD1/OR15-1a*01	IGHJ2*01	292	0	13	0	47
S1224	IGHV1/OR15-9*01	IGHD6-13*01	IGHJ4*01	294	0	11	0	47
S1225	IGHV3-43D*01	IGHD5-24*01	IGHJ5*01	293	7	20	12	47
S1226	IGHV3-38*03	IGHD6-13*01	IGHJ6*01	287	0	3	10	61
S1227	IGHV3-43D*01	IGHD5/OR15-5a*01	IGHJ4*01	292	14	20	15	44
S1228	IGHV3-48*01	IGHD7-27*01	IGHJ2*01	294	8	5	0	48
S1229	IGHV3/OR16-12*01	IGHD2-21*02	IGHJ5*01	294	8	13	0	46
S1230	IGHV3-64D*06	IGHD2-2*03	IGHJ6*01	294	5	31	1	63
S1231	IGHV3/OR16-9*01	IGHD3-22*01	IGHJ3*02	292	0	30	5	37
S1232	IGHV1-46*02	IGHD1-7*01	IGHJ4*01	294	5	11	1	44
S1233	IGHV5-10-1*04	IGHD4/OR15-4a*01	IGHJ3*01	289	0	16	0	44
S1234	IGHV3-74*02	IGHD4-17*01	IGHJ1*01	293	3	6	10	52
S1235	IGHV1-2*02	IGHD3-3*02	IGHJ3*02	293	2	28	0	50
S1236	IGHV3-66*01	IGHD5-18*01	IGHJ3*01	290	1	20	0	44
S1237	IGHV4-31*06	IGHD5/OR15-5a*01	IGHJ3*02	290	0	17	23	46
S1238	IGHV4-28*07	IGHD4-17*01	IGHJ6*03	292	2	14	9	52
S1239	IGHV3-25*04	IGHD1/OR15-1a*01	IGHJ6*04	294	0	17	11	63
S1240	IGHV3-11*06	IGHD6-25*01	IGHJ3*02	292	0	16	0	44
S1241	IGHV4-59*10	IGHD4/OR15-4a*01	IGHJ1*01	291	11	9	0	50
S1242	IGHV1/OR15-9*01	IGHD1-20*01	IGHJ4*03	293	0	16	0	46
S1243	IGHV3-74*02	IGHD1-7*01	IGHJ5*01	289	8	0	3	49
S1244	IGHV3-13*01	IGHD2-15*01	IGHJ3*01	290	0	31	2	50
S1245	IGHV3/OR16-6*02	IGHD1-20*01	IGHJ5*01	300	0	6	7	36
S1246	IGHV1-2*04	IGHD1-7*01	IGHJ3*02	293	3	12	0	50
S1247	IGHV3-7*01	IGHD4-23*01	IGHJ1*01	293	0	9	0	44
S1248	IGHV4-59*10	IGHD5-24*01	IGHJ1*01	291	7	16	1	43
S1249	IGHV1/OR15-1*04	IGHD1-26*01	IGHJ5*02	294	13	20	4	51
S1250	IGHV4-30-4*02	IGHD3-22*01	IGHJ4*03	296	5	31	0	38
S1251	IGHV3-66*02	IGHD5-18*01	IGHJ1*01	291	13	19	7	46
S1252	IGHV1-46*02	IGHD1-7*01	IGHJ5*02	291	12	15	3	46
S1253	IGHV1-46*01	IGHD1-20*01	IGHJ6*01	294	8	13	0	55
S1254	IGHV4-39*05	IGHD3-22*01	IGHJ6*04	293	12	25	4	63
S1255	IGHV3-38-3*01	IGHD1-1*01	IGHJ5*01	288	1	11	4	51
S1256	IGHV5-51*02	IGHD7-27*01	IGHJ5*01	293	2	7	5	48
S1257	IGHV5-51*03	IGHD3-16*01	IGHJ5*01	294	4	30	0	45
S1258	IGHV3-64D*06	IGHD7-27*01	IGHJ6*01	293	6	8	0	51
S1259	IGHV3-64*04	IGHD4-17*01	IGHJ4*01	291	9	4	0	48
S1260	IGHV3-64*01	IGHD5/OR15-5a*01	IGHJ3*02	294	7	14	0	37
S1261	IGHV4-38-2*02	IGHD4-11*01	IGHJ4*01	294	0	9	7	48
S1262	IGHV3-43D*01	IGHD1-1*01	IGHJ4*01	294	2	10	9	37
S1263	IGHV1-46*03	IGHD1-20*01	IGHJ3*02	294	7	14	8	50
S1264	IGHV3-74*01	IGHD5-24*01	IGHJ3*01	294	0	14	11	48
S1265	IGHV3-15*02	IGHD2-15*01	IGHJ1*01	299	3	22	12	46
S1266	IGHV7-81*01	IGHD4-11*01	IGHJ2*01	294	4	16	0	53
S1267	IGHV5-10-1*04	IGHD4/OR15-4a*01	IGHJ6*02	294	4	16	7	54
S1268	IGHV1-69-2*01	IGHD1-7*01	IGHJ6*01	292	7	13	12	61
S1269	IGHV4/OR15-8*03	IGHD5-12*01	IGHJ1*01	294	15	5	1	52
S1270	IGHV1/OR15-1*02	IGHD5-18*01	IGHJ2*01	292	0	18	0	48
S1271	IGHV3-35*01	IGHD2-2*02	IGHJ4*03	293	6	30	8	45
S1272	IGHV3-25*04	IGHD3-16*01	IGHJ2*01	294	2	26	0	45
S1273	IGHV3-38*01	IGHD4-11*01	IGHJ5*01	288	0	9	7	51
S1274	IGHV4-28*01	IGHD1-20*01	IGHJ6*03	289	5	12	1	62
S1275	IGHV3-66*03	IGHD6-13*01	IGHJ6*04	287	4	20	1	61
S1276	IGHV3-30-3*01	IGHD5/OR15-5a*01	IGHJ6*01	291	13	23	0	49
S1277	IGHV3-64*02	IGHD3-10*02	IGHJ1*01	292	8	22	11	52
S1278	IGHV1-2*02	IGHD5-18*01	IGHJ2*01	294	7	13	9	53
S1279	IGHV3-9*03	IGHD3/OR15-3a*01	IGHJ3*02	294	4	25	0	50
S1280	IGHV7-4-1*02	IGHD1/OR15-1a*01	IGHJ1*01	294	7	6	12	39
S1281	IGHV4-28*05	IGHD3-22*01	IGHJ5*01	292	4	22	0	40
S1282	IGHV1-2*02	IGHD3-3*01	IGHJ2*01	294	15	31	16	47
S1283	IGHV3-64*03	IGHD4/OR15-4a*01	IGHJ6*04	293	3	7	0	58
S1284	IGHV3/OR16-12*01	IGHD6-19*01	IGHJ5*01	293	25	17	1	46
S1285	IGHV2-70*11	IGHD2-21*02	IGHJ6*04	296	7	18	0	55
S1286	IGHV3-15*05	IGHD4/OR15-4a*01	IGHJ3*01	300	5	9	11	36
S1287	IGHV3-NL1*01	IGHD5-12*01	IGHJ5*02	292	2	19	0	51
S1288	IGHV3-38-3*01	IGHD3-16*02	IGHJ3*02	288	7	30	3	42
S1289	IGHV3-43*02	IGHD1-14*01	IGHJ2*01	294	7	14	2	47
S1290	IGHV3-38-3*01	IGHD1-26*01	IGHJ2*01	287	7	20	1	43
S1291	IGHV3-30*14	IGHD2-8*02	IGHJ5*01	294	0	27	6	46
S1292	IGHV7-81*01	IGHD2-15*01	IGHJ4*02	291	2	14	3	48
S1293	IGHV3/OR15-7*03	IGHD3-22*01	IGHJ6*03	300	11	21	1	54
S1294	IGHV1/OR15-9*01	IGHD2-15*01	IGHJ1*01	293	5	18	0	48
S1295	IGHV3-30-3*01	IGHD1-26*01	IGHJ5*02	292	0	14	6	37
S1296	IGHV3/OR16-6*02	IGHD3/OR15-3a*01	IGHJ2*01	300	0	15	0	49
S1297	IGHV3-64*01	IGHD3-22*01	IGHJ6*04	294	13	27	1	62
S1298	IGHV3-64D*06	IGHD2-21*01	IGHJ5*01	291	6	19	6	51
S1299	IGHV3-43D*01	IGHD1-14*01	IGHJ5*01	294	0	8	4	46
S1300	IGHV4-59*02	IGHD6-13*01	IGHJ6*03	291	2	21	11	56
S1301	IGHV3-30*12	IGHD1-1*01	IGHJ3*01	294	7	1	1	43
S1302	IGHV3-9*03	IGHD3-9*01	IGHJ2*01	294	0	30	12	52
S1303	IGHV3/OR16-13*01	IGHD1-14*01	IGHJ1*01	292	0	17	0	46
S1304	IGHV5-51*01	IGHD3-16*02	IGHJ5*01	293	2	28	4	46
S1305	IGHV3/OR16-13*01	IGHD4-17*01	IGHJ3*02	294	19	13	1	40
S1306	IGHV3-21*01	IGHD3-22*01	IGHJ5*02	287	0	16	9	43
S1307	IGHV4-39*03	IGHD2-15*01	IGHJ5*02	289	7	11	0	45
S1308	IGHV3-64*02	IGHD6-6*01	IGHJ6*04	292	7	5	5	58
S1309	IGHV1-24*01	IGHD5-24*01	IGHJ4*03	294	7	18	0	42
S1310	IGHV3-33*06	IGHD4-17*01	IGHJ5*01	294	8	15	5	51
S1311	IGHV3-66*01	IGHD4-23*01	IGHJ6*02	291	3	10	4	49
S1312	IGHV1/OR21-1*01	IGHD1-14*01	IGHJ4*02	293	15	6	3	44
S1313	IGHV3-13*01	IGHD4-17*01	IGHJ1*01	290	8	16	3	47
S1314	IGHV3-38*03	IGHD3-9*01	IGHJ5*02	288	1	23	0	46
S1315	IGHV1-69D*01	IGHD6-6*01	IGHJ4*01	294	14	18	0	44
S1316	IGHV2-26*01	IGHD6-19*01	IGHJ5*02	299	15	14	5	46
S1317	IGHV3-72*01	IGHD2-2*01	IGHJ3*02	299	3	20	7	38
S1318	IGHV3-7*01	IGHD1-26*01	IGHJ3*01	294	25	20	7	48
S1319	IGHV3-21*01	IGHD2-15*01	IGHJ5*01	292	4	11	0	51
S1320	IGHV3/OR16-12*01	IGHD6-25*01	IGHJ6*03	292	3	0	6	62
S1321	IGHV3-74*02	IGHD3-16*01	IGHJ4*02	294	0	32	13	46
S1322	IGHV3-53*02	IGHD3/OR15-3a*01	IGHJ2*01	291	3	23	6	38
S1323	IGHV3-33*05	IGHD6-19*01	IGHJ2*01	294	3	12	0	40
S1324	IGHV4-38-2*02	IGHD4-23*01	IGHJ1*01	292	4	7	0	49
S1325	IGHV1-2*04	IGHD2/OR15-2a*01	IGHJ2*01	293	3	15	0	53
S1326	IGHV3-38*03	IGHD2/OR15-2a*01	IGHJ4*01	287	2	2	9	37
S1327	IGHV3-73*01	IGHD2/OR15-2a*01	IGHJ2*01	295	11	26	8	45
S1328	IGHV2/OR16-5*01	IGHD1-7*01	IGHJ5*01	300	1	3	4	38
S1329	IGHV1-3*01	IGHD7-27*01	IGHJ2*01	294	9	3	3	49
S1330	IGHV3-16*01	IGHD1-26*01	IGHJ2*01	291	0	10	0	45
S1331	IGHV3-7*03	IGHD3-9*01	IGHJ2*01	294	5	25	10	48
S1332	IGHV3-30-3*02	IGHD1/OR15-1a*01	IGHJ4*01	294	3	2	0	41
S1333	IGHV3-33*04	IGHD4-23*01	IGHJ2*01	294	11	10	6	49
S1334	IGHV7-81*01	IGHD5-12*01	IGHJ6*02	291	12	18	1	62
S1335	IGHV3-21*01	IGHD6-19*01	IGHJ1*01	292	6	10	4	40
S1336	IGHV1-3*02	IGHD6-19*01	IGHJ3*02	292	0	13	0	41
S1337	IGHV2-26*01	IGHD4-11*01	IGHJ4*03	299	6	9	4	43
S1338	IGHV4-4*07	IGHD2-8*02	IGHJ5*02	288	4	15	0	51
S1339	IGHV3-53*04	IGHD3-16*02	IGHJ1*01	290	2	25	0	44
S1340	IGHV3-43*01	IGHD4-23*01	IGHJ5*02	294	10	7	2	42
S1341	IGHV3-23*01	IGHD2/OR15-2a*01	IGHJ5*02	294	4	20	0	43
